title,rating,genre
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports"
Last Exile,7.82,"Action, Sci-Fi, Adventure"
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic"
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
Air,7.32,"Slice of Life, Supernatural, Drama, Romance"
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo"
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo"
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen"
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo"
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen"
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi"
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen"
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic"
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi"
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space"
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen"
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy"
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy"
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy"
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy"
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life"
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
