title,rating,genre
Chou Denji Robo Combattler V,6.7,"Sci-Fi, Adventure, Mecha, Shounen"
Chou Denji Machine Voltes V,7.45,"Action, Sci-Fi, Adventure, Drama, Mecha, Shounen"
Love Get Chu,6.58,"Comedy, Romance"
Memories Off #5 Togireta Film The Animation,6.15,"Romance, Drama"
Sweat Punch,7.41,"Action, Historical, Fantasy, Mecha"
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,6.77,"Game, Adventure, Comedy, Shounen"
Netrun-mon the Movie,5.36,Comedy
Wizardry,5.8,"Action, Adventure, Fantasy"
Cardcaptor Sakura: Kero-chan ni Omakase!,7.34,"Comedy, Shoujo"
Armitage III,7.05,"Action, Adventure, Romance, Mecha, Sci-Fi, Police"
Sentou Yousei Yukikaze,7.21,"Action, Drama, Military, Psychological, Sci-Fi, Space"
Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,7.36,"Action, Adventure, Space, Drama, Sci-Fi, Seinen"
Hikari to Mizu no Daphne,6.76,"Sci-Fi, Mystery, Comedy, Police, Psychological, Drama, Ecchi"
Human Crossing,6.34,"Drama, Slice of Life, Sports"
I''s,6.01,"Romance, Drama"
Interlude,6.47,"Adventure, Horror, Mystery"
Kenran Butou Sai: The Mars Daybreak,7.18,"Adventure, Comedy, Mecha, Military, Romance, Sci-Fi, Shounen"
Kimagure Orange☆Road,7.55,"Comedy, Drama, Romance, School, Shounen, Slice of Life, Super Power"
Macross,7.94,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space"
Macross: Do You Remember Love?,7.97,"Action, Military, Sci-Fi, Music, Space, Romance, Mecha"
Mobile Suit Gundam I,7.3,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha"
Mobile Suit Gundam II: Soldiers of Sorrow,7.39,"Action, Military, Sci-Fi, Space, Drama, Mecha"
Mobile Suit Gundam III: Encounters in Space,7.78,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha"
Oishinbo,6.4,"Comedy, Slice of Life, Seinen"
One Piece: Umi no Heso no Daibouken-hen,7.29,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
Kidou Keisatsu Patlabor the Movie,7.55,"Drama, Mecha, Military, Police"
Kidou Keisatsu Patlabor 2 the Movie,7.9,"Military, Sci-Fi, Mystery, Police, Drama, Mecha"
Lime-iro Senkitan,5.97,"Drama, Ecchi, Harem, Historical, Mecha, Supernatural"
Samurai Girl Real Bout High School,5.97,"Adventure, Comedy, Fantasy, Shounen"
Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,6,"Adventure, Drama, Fantasy, Shounen"
Soreyuke! Uchuu Senkan Yamamoto Yohko,6.12,"Sci-Fi, Adventure, Comedy"
Tenchi Muyou! Manatsu no Eve,7.14,"Action, Comedy, Sci-Fi, Shounen, Space"
Urda,4.59,"Action, Historical, Military, Sci-Fi"
Shinkon Gattai Godannar!!,6.69,"Ecchi, Comedy, Mecha, Romance, Sci-Fi"
Shinkon Gattai Godannar!! 2nd Season,6.95,"Ecchi, Comedy, Mecha, Romance, Sci-Fi"
Digital Juice,5.62,"Comedy, Psychological"
Eikyuu Kazoku,5.96,"Psychological, Comedy"
Youjuu Toshi,6.44,"Action, Adventure, Demons, Drama, Horror, Super Power"
Senkaiden Houshin Engi,7.13,"Magic, Adventure, Fantasy, Supernatural, Historical, Shounen"
Monster Extra: Hottan,6.68,"Drama, Horror, Mystery, Seinen"
Mermaid Melody Pichi Pichi Pitch Pure,7.09,"Adventure, Music, Comedy, Magic, Romance, Shoujo"
Vandread: Gekitou-hen,6.9,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space"
Vandread: Taidou-hen,6.8,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space"
One: Kagayaku Kisetsu e - True Stories,6.3,Hentai
Handsome Girl,5.76,"Romance, Shoujo"
Junkers Come Here,7.14,"Slice of Life, Drama"
Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,7.36,"Adventure, Comedy, Kids, Drama, Fantasy"
Pokemon Movie 03: Kesshoutou no Teiou Entei,7.09,"Action, Adventure, Comedy, Kids, Drama, Fantasy"
Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.92,"Adventure, Comedy, Kids, Drama, Fantasy"
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,7.18,"Adventure, Comedy, Drama, Fantasy, Kids"
Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,6.76,"Adventure, Comedy, Kids, Drama, Fantasy"
Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,6.98,"Action, Sci-Fi, Adventure, Comedy, Kids, Fantasy"
Bouken Ou Beet Excellion,6.72,"Adventure, Fantasy, Shounen, Supernatural"
Seikai no Danshou: Tanjou,7.14,"Military, Romance, Sci-Fi, Space"
Figure 17: Tsubasa & Hikaru,7.23,"Sci-Fi, Slice of Life"
UFO Princess Valkyrie,6.75,"Comedy, Ecchi, Magic, Sci-Fi"
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,6.97,"Comedy, Romance, Sci-Fi"
UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,6.88,"Sci-Fi, Comedy, Romance"
Windaria,6.54,"Action, Drama, Fantasy, Romance, Sci-Fi"
Digimon Frontier,7.15,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Tenchi Muyou! GXP,7.18,"Action, Comedy, Harem, Mecha, Police, Sci-Fi, Shounen, Space"
Munto: Toki no Kabe wo Koete,7.02,"Action, Fantasy, Magic, Super Power"
Betterman,6.6,"Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi"
Mushrambo,6.98,"Sci-Fi, Adventure, Drama, Fantasy, Shounen"
Medarot,7.07,"Adventure, Comedy, Sci-Fi, Shounen"
Monkey Magic,6.03,"Kids, Adventure, Fantasy"
Giniro no Kami no Agito,7.11,"Adventure, Drama, Fantasy, Romance, Sci-Fi"
Palme no Ki,6.54,"Adventure, Drama, Fantasy, Romance"
Hachimitsu to Clover II,8.26,"Drama, Josei, Romance, Slice of Life"
.hack//Intermezzo,6.56,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi"
Tenchi Muyou! in Love 2: Haruka Naru Omoi,7.21,"Sci-Fi, Drama, Romance, Shounen"
Kaze no Youjinbou,7.19,"Action, Mystery, Drama, Shounen"
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,7.37,"Comedy, Harem, Romance, Sci-Fi, Shounen"
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,7.26,"Action, Sci-Fi, Harem, Space, Comedy, Shounen"
Teito Monogatari,5.99,"Historical, Horror, Supernatural"
Choujuushin Gravion Zwei,6.65,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"
Legend of Crystania,6.02,"Action, Adventure, Fantasy, Magic, Supernatural"
Dominion,6.93,"Sci-Fi, Comedy, Police, Mecha"
New Dominion Tank Police,6.95,"Police, Comedy, Mecha, Sci-Fi, Shounen"
Crying Freeman,6.48,"Action, Police, Martial Arts, Romance, Drama, Seinen"
Mother: Saigo no Shoujo Eve,5.72,"Adventure, Drama, Sci-Fi"
Melty Lancer,5.94,"Adventure, Comedy, Sci-Fi, Space"
I: Wish You Were Here,6.07,"Action, Drama, Mystery, Sci-Fi"
Final Fantasy: Unlimited,6.2,"Action, Adventure, Fantasy, Sci-Fi, Shounen"
Geobreeders: File-X Chibi Neko Dakkan,6.3,"Adventure, Comedy, Shounen, Supernatural"
Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,6.34,"Adventure, Comedy, Sci-Fi, Shounen"
Gundress,5.53,"Action, Mecha, Sci-Fi"
Maze☆Bakunetsu Jikuu (TV),6.65,"Adventure, Comedy, Fantasy, Mecha, Shounen"
Maze☆Bakunetsu Jikuu,6.11,"Adventure, Comedy, Fantasy, Mecha, Shounen"
Neo Ranga,6.53,"Adventure, Horror, Mecha"
Mahou Senshi Louie,7.17,"Adventure, Comedy, Fantasy, Magic, Shounen"
Sakura Taisen: Ouka Kenran,6.58,"Adventure, Mecha, Sci-Fi, Shounen"
Sakura Taisen: Gouka Kenran,6.86,"Adventure, Mecha, Sci-Fi, Shounen"
Samurai Gun,6,"Action, Historical, Seinen"
Musekinin Kanchou Tylor OVA,7.25,"Adventure, Comedy, Drama, Military, Sci-Fi, Space"
Green Legend Ran,6.66,"Adventure, Drama, Sci-Fi"
Slayers Special,7.37,"Adventure, Comedy, Supernatural, Magic, Fantasy, Shounen"
Slayers Excellent,7.33,"Adventure, Comedy, Demons, Supernatural, Magic, Fantasy, Shounen"
Slayers Try,7.83,"Adventure, Comedy, Demons, Magic, Fantasy, Shounen"
Munto,6.83,"Fantasy, Magic, Romance"
Metal Fighter Miku,6.04,"Sci-Fi, Comedy, Sports, Shounen"
Unkai no Meikyuu Zeguy,5.78,"Action, Adventure, Fantasy"
Alien 9,6.67,"Sci-Fi, Horror, Psychological, School"
Detonator Orgun,6.45,"Action, Sci-Fi, Mecha"
Gakuen Senki Muryou,7.07,"Sci-Fi, Adventure, Space, Supernatural, Mecha, Shounen"
Hyper Police,6.95,"Action, Comedy, Police, Romance, Sci-Fi"
Hikyou Tanken Fam & Ihrlie,6.66,"Action, Adventure, Comedy, Fantasy, Magic"
Shamanic Princess,6.64,"Action, Fantasy, Magic, Romance"
Variable Geo,5.62,"Action, Ecchi, Martial Arts, Shounen, Super Power"
Lost Universe,7.03,"Adventure, Comedy, Drama, Sci-Fi, Shounen, Space"
Battle Athletess Daiundoukai,6.5,"Action, Comedy, Ecchi, Sci-Fi, Shounen, Space, Sports"
Battle Athletess Daiundoukai (TV),6.9,"Action, Sci-Fi, Adventure, Comedy, Sports, Drama, School, Shounen"
DNA² OVA,6.57,"Comedy, Drama, Sci-Fi"
Momoiro Sisters,6.14,"Comedy, Slice of Life"
Eden's Bowy,6.52,"Action, Adventure, Fantasy, Romance, Sci-Fi"
Tennis no Ouji-sama: Sonzoku Yama no Hi,7.39,"Adventure, Comedy, Sports, Shounen"
Saber Marionette J Again,7.23,"Action, Sci-Fi, Harem, Comedy, Romance, Mecha"
Kakurenbo,6.76,"Horror, Psychological, Supernatural"
Happy Seven: The TV Manga,6.31,"Comedy, Magic, Fantasy, School"
Coyote Ragtime Show,6.65,"Action, Adventure, Comedy, Mecha, Sci-Fi, Shounen"
Zero no Tsukaima,7.33,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
Masuda Kousuke Gekijou Gag Manga Biyori,7.21,"Comedy, Parody"
Tsuyokiss,6.6,"Comedy, Romance, School, Slice of Life"
Nintama Rantarou,7.03,"Comedy, Kids"
Gun-dou Musashi,5.8,"Adventure, Samurai, Fantasy"
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,6.16,"Action, Adventure, Fantasy, Magic, Sci-Fi"
Nitaboh,7.35,"Historical, Music"
Kujira no Chouyaku,6.66,"Drama, Fantasy, Kids"
Aru Tabibito no Nikki,7.13,"Adventure, Fantasy"
Ihatov Gensou: Kenji no Haru,7.2,"Drama, Historical, Slice of Life"
Wata no Kuni Hoshi,6.88,"Drama, Fantasy, Psychological, Romance, Shoujo"
Tatsu no Ko Tarou,6.83,"Adventure, Historical, Demons, Supernatural, Fantasy"
Nasu: Andalusia no Natsu,7.02,"Action, Sports, Seinen"
NHK ni Youkoso!,8.33,"Comedy, Psychological, Drama, Romance"
Macross Plus Movie Edition,7.72,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space"
Oban Star-Racers,7.51,"Adventure, Mecha, Sci-Fi, Shounen"
Binbou Shimai Monogatari,6.88,"Slice of Life, Comedy, Drama, Seinen"
Mobile Suit Gundam SEED C.E.73: Stargazer,7.15,"Space, Mecha, Military, Sci-Fi"
Boku wa Konomama Kaeranai,5.51,"Drama, Romance, Shounen Ai"
Seikimatsu★Darling,6.37,"Comedy, Romance, Drama, Shounen Ai"
Tonagura!,6.73,"Comedy, Drama, Ecchi, Romance, School"
Chocotto Sister,6.79,"Comedy, Drama, Romance, Ecchi"
Hoshizora Kiseki,5.8,"Romance, Sci-Fi"
Demashita! Powerpuff Girls Z,6.35,"Action, Comedy, Magic, School, Sci-Fi, Shoujo, Slice of Life, Super Power"
Bokura ga Ita,7.31,"Slice of Life, Drama, Romance, Shoujo"
Ame to Shoujo to Watashi no Tegami,5.81,Shoujo
Aquarian Age: Sign for Evolution,6.12,"Action, Sci-Fi, Adventure, Music, Super Power, Supernatural, Romance, Fantasy, Shounen"
3x3 Eyes: Seima Densetsu,6.97,"Action, Adventure, Horror, Demons, Romance, Fantasy"
Seihou Tenshi Angel Links,5.96,"Action, Adventure, Space, Comedy, Romance, Drama, Sci-Fi"
Shuten Douji,5.74,"Space, Supernatural, Demons, Historical, Horror, Sci-Fi, Shounen"
Chivas 1-2-3,6.01,"Action, Comedy, Ecchi, Fantasy, Supernatural"
Innocent Venus,6.84,"Adventure, Drama, Mecha, Military, Sci-Fi"
Saber Marionette J to X,7.3,"Action, Adventure, Comedy, Harem, Mecha, Sci-Fi"
Saber Marionette R,6.6,"Action, Comedy, Harem, Mecha, Sci-Fi"
Aozora Shoujo-tai,6.51,"Action, Comedy, Military, Romance, Shounen"
Hand Maid Mai,6.05,"Comedy, Ecchi, Romance, Sci-Fi"
I''s Pure Bonus,6.48,"Ecchi, Comedy, Romance"
SF Saiyuuki Starzinger,6.95,"Adventure, Mecha, Sci-Fi, Shounen, Space"
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,7.29,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
One Piece: Mamore! Saigo no Dai Butai,7.38,"Adventure, Comedy, Fantasy, Shounen"
Bishoujo Senshi Sailor Moon SuperS,7.59,"Drama, Magic, Romance, Shoujo"
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,7.54,"Drama, Magic, Shoujo"
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,7.43,"Drama, Mecha, Military, Sci-Fi, Space"
Night Head Genesis,6.78,"Sci-Fi, Mystery, Psychological, Supernatural, Drama"
Ankoku Shindenshou Takegami,5.61,"Action, Mecha, Supernatural, Drama, Sci-Fi"
Shihaisha no Tasogare,5.83,"Action, Sci-Fi, Horror, Demons, Supernatural, Drama, Shoujo"
Yuugo: Koushounin,7.13,"Action, Military, Mystery, Psychological, Drama, Seinen"
Project BLUE Chikyuu SOS,6.67,"Sci-Fi, Adventure, Comedy, Shounen"
Zone of the Enders: 2167 Idolo,6.9,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
"Zone of the Enders: Dolores, I",6.96,"Action, Adventure, Space, Comedy, Mecha, Military, Sci-Fi"
Erementar Gerad,7.3,"Adventure, Comedy, Super Power, Magic, Romance, Fantasy, Shounen"
Fushigi no Umi no Nadia,7.54,"Adventure, Comedy, Historical, Romance, Sci-Fi"
Fushigi no Umi no Nadia: Original Movie,5.37,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi"
Saint Seiya: Meiou Hades Meikai-hen,7.76,"Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power"
Saint Seiya,7.77,"Adventure, Fantasy, Sci-Fi, Shounen"
Saint Seiya: Shinku no Shounen Densetsu,7.23,"Adventure, Fantasy, Sci-Fi, Shounen"
Saint Seiya: Jashin Eris,6.83,"Adventure, Sci-Fi, Shounen"
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.06,"Adventure, Sci-Fi, Shounen"
Saint Seiya: Kamigami no Atsuki Tatakai,6.91,"Adventure, Sci-Fi, Shounen"
Saint Seiya: Tenkai-hen Josou - Overture,7.23,"Adventure, Sci-Fi, Shounen"
Saint Seiya: Saishuu Seisen no Senshi-tachi,6.81,"Adventure, Sci-Fi, Shounen"
Kyattou Ninden Teyandee,7.05,"Action, Comedy, Mecha, Super Power, Sci-Fi, Shounen"
Macross II: Lovers Again,6.33,"Adventure, Space, Mecha, Military, Sci-Fi, Shounen"
Suika,6.47,"Drama, Fantasy, Hentai, Romance"
Yoroiden Samurai Troopers,7.08,"Adventure, Samurai, Sci-Fi, Shounen"
Yoroiden Samurai Troopers Gaiden,6.61,"Adventure, Fantasy, Samurai, Shounen"
Yoroiden Samurai Troopers Kikoutei Densetsu,6.57,"Adventure, Samurai, Fantasy, Shounen"
Yoroiden Samurai Troopers Message,5.97,"Adventure, Fantasy, Samurai, Shounen"
Aquarian Age: Saga II - Don't Forget Me...,5.85,"Action, Super Power, Drama"
Bio Hunter,5.94,"Action, Demons, Horror"
Black Magic M-66,6.38,"Action, Military, Sci-Fi, Mecha"
Kyoukasho ni Nai!,5.6,"Comedy, Romance, Ecchi, School"
Injuu Gakuen La Blue Girl,6.24,"Hentai, Demons"
Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,6.13,"Hentai, Demons"
Injuu Gakuen EX,6.11,"Hentai, Demons"
Can Can Bunny Extra,6.21,"Fantasy, Hentai, Romance"
Ys,6.49,"Action, Adventure, Demons, Drama, Fantasy, Magic"
Ys: Tenkuu no Shinden - Adol Christine no Bouken,6.67,"Adventure, Fantasy, Magic, Demons, Drama"
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,7.3,"Comedy, Magic, Romance, Shoujo"
Taiyou no Ko Esteban,7.69,"Adventure, Historical, Sci-Fi"
Mamono Hunter Youko,6.29,"Fantasy, Magic, Comedy, Supernatural, Horror"
Gakkou no Kaidan,7.68,"Mystery, Horror, Supernatural"
Choujuu Densetsu Gestalt,6.08,"Adventure, Comedy, Fantasy"
Houma Hunter Lime,6.03,"Comedy, Fantasy"
Soukihei MD Geist,5.32,"Action, Military, Sci-Fi, Mecha"
MD Geist II: Death Force,5.03,"Action, Military, Sci-Fi, Mecha"
Odin: Koushi Hansen Starlight,5.24,"Action, Sci-Fi, Adventure, Space, Drama"
Kidou Keisatsu Patlabor,7.29,"Comedy, Mecha, Police, Sci-Fi"
Kidou Keisatsu Patlabor: New OVA,7.56,"Sci-Fi, Comedy, Police, Mecha"
WXIII Kidou Keisatsu Patlabor,6.75,"Sci-Fi, Police, Mecha"
Afro Samurai,7.36,"Action, Adventure, Samurai"
Urusei Yatsura,7.69,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance"
A-Ko The Versus,6.26,"Action, Adventure, Comedy, Romance, Sci-Fi, Super Power"
Project A-Ko 2: Daitokuji Zaibatsu no Inbou,6.51,"Action, Comedy, Mecha, Sci-Fi, Super Power"
Project A-Ko 3: Cinderella Rhapsody,6.41,"Action, Comedy, Mecha, Sci-Fi, Super Power"
Project A-Ko 4: Final,6.46,"Action, Comedy, Mecha, Sci-Fi, Super Power"
Flag,7.21,"Mecha, Military"
Omishi Mahou Gekijou: Risky★Safety,6.64,"Comedy, Shounen"
Ginga Tetsudou 999 (Movie),7.57,"Sci-Fi, Adventure, Space, Drama, Fantasy"
Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,7.29,"Sci-Fi, Adventure, Space, Drama"
The Animatrix,7.3,"Action, Drama, Sci-Fi"
Chobits Recap,6.98,"Ecchi, Romance, Comedy, Sci-Fi, Drama"
Chikyuu Bouei Kigyou Dai-Guard,7.13,"Military, Sci-Fi, Adventure, Comedy, Mecha"
Digimon Adventure 02,7.24,"Action, Adventure, Comedy, Drama, Fantasy, Kids"
DT Eightron,6.33,"Action, Sci-Fi, Shounen"
Idaten Jump,6.96,"Game, School, Sports"
Eyeshield 21: Maboroshi no Golden Bowl,6.67,"Sports, Shounen"
Earthian,6.1,"Drama, Shoujo, Shounen Ai"
Hamelin no Violin Hiki,6.58,"Adventure, Drama, Fantasy"
Aoki Densetsu Shoot!,7.41,"Action, Comedy, Drama, Romance, School, Shounen, Sports"
One Pound Gospel,6.46,"Sports, Comedy, Romance, Seinen"
Ohoshi-sama no Rail,7.07,"Historical, Drama"
Dragon Pink,6.14,"Action, Adventure, Comedy, Fantasy, Hentai, Magic, Supernatural"
Elf no Wakaokusama,5.93,"Fantasy, Hentai"
Fushigi na Koala Blinky,6.3,"Adventure, Comedy, Kids, Fantasy"
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,7.16,"Sci-Fi, Comedy, Mecha"
Kyoushoku Soukou Guyver II,7.03,"Action, Adventure, Drama, Horror, Sci-Fi"
Dororon Enma-kun,6.3,"Comedy, Demons, Fantasy, Horror, Shounen, Supernatural"
Shin Megami Tensei: Tokyo Mokushiroku,5.43,"Action, Sci-Fi, Horror, Demons, Supernatural"
Cool Devices,6.24,Hentai
Yami no Shihosha Judge,5.37,"Supernatural, Horror, Seinen"
Violence Jack: Harlem Bomber-hen,5.23,"Action, Drama, Horror"
Violence Jack: Jigoku Gai-hen,5.55,"Action, Drama, Horror"
Violence Jack: Hell's Wind-hen,5.48,"Action, Drama, Horror"
Eightman After,6.19,"Action, Sci-Fi, Drama"
Soujuu Senshi Psychic Wars,3.15,"Action, Super Power, Demons, Seinen"
AD Police,6.28,"Sci-Fi, Adventure, Mystery, Dementia, Police, Psychological, Thriller, Mecha"
Bubblegum Crisis,7.29,"Adventure, Mecha, Sci-Fi, Shounen"
Bubblegum Crash,6.54,"Action, Adventure, Mecha, Sci-Fi, Shounen"
A.D. Police (TV),6.02,"Action, Sci-Fi, Mecha, Shounen"
Parasite Dolls,6.57,"Action, Sci-Fi, Police, Mecha"
Angel Cop,5.94,"Action, Sci-Fi, Police"
Cyber City Oedo 808,7.18,"Action, Adventure, Police, Sci-Fi"
The Urotsuki,5.69,"Adventure, Fantasy, Hentai, Demons, Horror"
Makyuu Senjou,5.1,"Action, Sci-Fi"
Hokuto no Ken 2,7.56,"Action, Super Power, Drama, Martial Arts"
Shin Hokuto no Ken,6.97,"Action, Martial Arts, Sci-Fi, Shounen"
Hokuto no Ken Movie,7.2,"Sci-Fi, Adventure, Shounen"
Nikutai Ten'i,6.33,"Hentai, Yuri"
Makai Tenshi Djibril,6.47,Hentai
Final Fantasy: The Spirits Within,6.37,Sci-Fi
Street Fighter II Movie,7.17,"Action, Martial Arts, Shounen"
Detective Conan Movie 04: Captured in Her Eyes,8.04,"Adventure, Mystery, Comedy, Police, Shounen"
Detective Conan Movie 05: Countdown to Heaven,8.14,"Adventure, Police, Comedy, Mystery, Shounen"
Detective Conan Movie 06: The Phantom of Baker Street,8.31,"Adventure, Mystery, Police, Shounen"
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.84,"Adventure, Mystery, Comedy, Police, Shounen"
Detective Conan Movie 08: Magician of the Silver Sky,8.1,"Adventure, Mystery, Comedy, Police, Shounen"
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,7.41,"Police, Comedy, Mystery, Shounen"
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,7.25,"Adventure, Mystery, Comedy, Shounen"
Atama Yama,6.45,"Comedy, Dementia, Psychological, Fantasy"
Hi no Tori,7.11,"Sci-Fi, Adventure, Historical, Supernatural, Drama"
Taiho Shichau zo (TV),7.54,"Action, Comedy, Police, Seinen"
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,7.27,Drama
Kyoushoku Soukou Guyver (2005),7.26,"Adventure, Sci-Fi, Shounen"
Watashi no Ashinaga Ojisan,7.75,"Comedy, Historical, Romance, School, Shoujo, Slice of Life"
Ojamajo Doremi Na-i-sho,7.7,"Comedy, Fantasy, Magic, Shoujo"
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6.69,"Sci-Fi, Space, Drama"
Sengoku Kitan Youtouden Movie,5.96,"Action, Martial Arts, Samurai"
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,7.78,"Adventure, Drama, Fantasy"
Blue Gender: The Warrior,6.24,"Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space"
Seikai no Monshou Special,7.22,"Action, Military, Romance, Sci-Fi, Space"
Yuusha-Ou GaoGaiGar Final,8.08,"Adventure, Drama, Mecha, Sci-Fi, Shounen"
Yuuwaku Countdown,5.83,"Action, Comedy, Fantasy, Hentai, Horror, Mecha, Romance, Supernatural"
Kyuuketsuhime Miyu,6.99,"Action, Horror, Demons, Drama, Vampire, Shoujo"
Kurohime: Shikkoku no Yakata,5.9,Hentai
Blood Royale,5.63,Hentai
Yakin Byoutou,6.31,Hentai
Yakin Byoutou Ni,6.13,Hentai
Yakin Byoutou San,6.23,Hentai
Parade Parade,5.98,"Hentai, Music, Yuri"
Future GPX Cyber Formula,7.35,"Adventure, Sci-Fi, Shounen, Sports"
Future GPX Cyber Formula 11,7.29,"Drama, Sci-Fi, Shounen, Sports"
Future GPX Cyber Formula Zero,7.4,"Drama, Sci-Fi, Shounen, Sports"
Future GPX Cyber Formula Saga,7.39,"Drama, Sci-Fi, Shounen, Sports"
Future GPX Cyber Formula Sin,7.5,"Drama, Sci-Fi, Shounen, Sports"
Future GPX Cyber Formula: Early Days Renewal,6.43,"Drama, Sci-Fi, Shounen, Sports"
Macross 7,7.13,"Action, Military, Sci-Fi, Adventure, Music, Space, Comedy, Drama, Romance, Mecha, Shounen"
Macross Dynamite 7,6.84,"Sci-Fi, Adventure, Space, Comedy, Mecha, Shounen"
Macross 7 Encore,6.97,"Action, Sci-Fi, Music, Space, Comedy, Drama, Mecha, Shounen"
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,6.93,"Action, Sci-Fi, Adventure, Music, Comedy, Drama, Mecha, Shounen"
Bible Black: New Testament,6.74,Hentai
Princess Memory,5.66,"Fantasy, Hentai, Romance"
Tsumamigui,6.48,Hentai
Flutter of Birds: Tori-tachi no Habataki,5.72,Hentai
Tokio Kidou Police,5.91,"Comedy, Hentai, Parody, Romance"
Gibo,5.96,"Drama, Hentai, Romance"
Stainless Night,6.07,"Hentai, Yuri"
Kao no nai Tsuki,6.66,Hentai
IGPX: Immortal Grand Prix,6.58,"Sports, Mecha, Sci-Fi, Shounen"
IGPX: Immortal Grand Prix (2005) 2nd Season,7.29,"Mecha, Sci-Fi, Shounen, Sports"
VS Knight Lamune & 40 Fresh,5.69,"Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space"
Lupin III,7.67,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Alcatraz Connection,7.09,"Action, Adventure, Comedy, Seinen"
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,7.07,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Bye Bye Liberty - Kiki Ippatsu!,6.84,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Dead or Alive,7.17,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Moeyo Zantetsuken!,7.07,"Action, Adventure, Mystery, Comedy, Seinen"
"Lupin III: Episode 0 ""First Contact""",7.62,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Kutabare! Nostradamus,7.38,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Russia yori Ai wo Komete,6.75,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Hemingway Paper no Nazo,6.93,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: $1 Money Wars,7.17,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Napoleon no Jisho wo Ubae,6.73,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Otakara Henkyaku Daisakusen!!,7.37,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Part II,7.8,"Action, Adventure, Mystery, Comedy, Seinen"
Lupin III: Part III,7.33,"Action, Adventure, Comedy, Seinen"
