title,rating,genres
Gulliver no Uchuu Ryokou,5.86,"Adventure, Sci-Fi"
Miracle☆Girls,7.12,"Drama, Magic, Shoujo"
Patalliro!,7.29,"Adventure, Comedy, Romance, Shoujo, Shounen Ai"
Chiisana Viking Vickie,6.58,"Adventure, Comedy, Historical, Kids"
Ariel Deluxe,5.6,"Action, Comedy, Mecha, Sci-Fi"
Toushin Toshi II,5.78,"Adventure, Fantasy, Hentai, Romance"
Ariel Visual,5.45,"Action, Comedy, Mecha, Sci-Fi"
Youkoso Lodoss-tou e!,6.13,"Comedy, Parody"
Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,6.72,Hentai
Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,6.5,"Adventure, Fantasy"
Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,7.26,"Action, Adventure, Comedy, Drama, Fantasy, Kids"
Kappa no Coo to Natsuyasumi,7.53,"Adventure, Demons, Shounen"
Ninkuu (Movie),6.14,"Action, Adventure, Comedy, Historical, Martial Arts, Shounen"
Accelerando: Datenshi-tachi no Sasayaki,6.86,Hentai
Ikusa Otome Valkyrie,6.2,Hentai
Ikusa Otome Valkyrie Shinshou,6.14,Hentai
Seifuku Shojo The Animation,6.27,Hentai
Tokineiro,5.12,Hentai
21-ji no Onna: Newscaster Katsuragi Miki,5.81,Hentai
2x1,5.25,Hentai
Ane☆Haramix,6.81,Hentai
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,6.98,Hentai
Kazama Mana,6.17,Hentai
Nanase Ren,6.15,Hentai
Yagami Yuu,6.38,Hentai
Bakunyuu Oyako,6.25,"Hentai, School"
Asgaldh: The Distortion Testament,5.72,Hentai
Bible Black Only Version,6.8,Hentai
Charm Point 1: Sister's Rondo,5.56,Hentai
Chikan Monogatari,6.23,Hentai
Hoshi no Orpheus,5.34,"Fantasy, Kids"
Chinmoku no Kantai,6.32,"Action, Military, Drama, Seinen"
Anime Oyako Gekijou,5.99,"Kids, Adventure, Fantasy, Historical, Sci-Fi"
Iyashite Agerun Saiyuuki,6.44,"Hentai, Parody"
Aachi wa Ssipak,6.67,"Action, Comedy"
Ganbare Goemon,6.09,"Comedy, Shounen"
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.45,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
Gake no Ue no Ponyo,7.89,"Adventure, Fantasy"
Iblard Jikan,6.95,Fantasy
Hakushon Daimaou,6.09,"Comedy, Fantasy"
Kinbaku no Yakata: Ryakudatsu,5.43,Hentai
Kujiratori,6.29,Adventure
Houkago: Nureta Seifuku,6.42,Hentai
Nandarou,5.23,Comedy
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7.19,Mystery
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,7.12,"Action, Comedy, Mystery, Police"
Sakigake!! Otokojuku,7.38,"Action, Comedy, Martial Arts, School, Shounen"
Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha"
Ikkitousen: Dragon Destiny Specials,6.65,"Super Power, Ecchi, Martial Arts, School"
Rokushin Gattai GodMars: Juunana-sai no Densetsu,6.01,"Action, Sci-Fi, Space, Mecha"
Cyborg Kuro-chan,7.1,"Comedy, Sci-Fi"
Koi Koi 7 Specials,5.92,"Comedy, Ecchi"
Kyoushirou to Towa no Sora Specials,6.55,"Drama, Magic, Romance, Shounen"
Ohayou! Spank,6.6,"Slice of Life, Comedy"
Daisougen no Chiisana Tenshi: Bush Baby,7.01,"Adventure, Drama"
Chikyuu ga Ugoita Hi,6.42,"Drama, Historical"
Genki Bakuhatsu Ganbaruger,6.75,"Mecha, Shounen"
Seijun Kango Gakuin,6.23,"Comedy, Hentai"
Ashita no Joe (Movie),7.12,"Action, Drama, Shounen, Sports"
Ashita no Joe 2,8.67,"Action, Drama, Shounen, Slice of Life, Sports"
Ashita no Joe 2 (Movie),7.27,"Drama, Sports"
Shugo Chara!,7.43,"Comedy, Magic, School, Shoujo"
ef: A Tale of Memories.,7.95,"Mystery, Drama, Romance"
Myself; Yourself,7.21,"Drama, Romance, School"
KimiKiss Pure Rouge,7.33,"Drama, Romance, School"
.hack//G.U. Returner,6.72,"Magic, Adventure, Fantasy, Game, Sci-Fi, Drama"
Moonlight Mile 2nd Season: Touch Down,7.36,"Adventure, Drama, Sci-Fi, Space"
Mokke,7.07,"Slice of Life, Supernatural, Mystery"
Mirai Keisatsu Urashiman,6.64,"Action, Sci-Fi, Comedy, Police"
Shiawase Sou no Okojo-san,6.51,Comedy
Ryokan Shirasagi,6.12,Hentai
Private Emotion,5.44,Hentai
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,7.08,Shoujo
Idol Densetsu Eriko,6.82,Music
Elysium,5.37,"Action, Mecha, Sci-Fi"
Sketchbook: Full Color's,7.39,"Slice of Life, Comedy"
Inbaku Gakuen,6.28,"Hentai, School"
Seisai,5.4,"Dementia, Fantasy, Hentai, Horror"
Hitozuma Ryoujoku Sankanbi,6.24,Hentai
Angel Core: Tenshi-tachi no Sumika,5.62,"Action, Mecha, Hentai, Military, Historical"
Ojamajo Doremi Sharp Movie,7.11,"Kids, Magic, Shoujo"
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,7.15,"Kids, Magic, Shoujo"
Doubutsu no Mori,7.08,"Kids, Slice of Life"
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen"
Final Fantasy VII: Advent Children Complete,7.96,"Action, Fantasy, Super Power"
Egao,6.51,"Music, Slice of Life, Kids"
Maria-sama ga Miteru 3rd Specials,7.35,Comedy
Hana no Joshi Announcer: Newscaster Etsuko,6.46,Hentai
Shin-ban Megami Tantei Vinus File,5.79,Hentai
Okusama wa Mahoutsukai,5.83,Hentai
Hitozuma Cosplay Kissa,6,Hentai
Utsukushiki Sei no Dendoushi Reirei,5.49,"Hentai, Yuri"
Kininaru Roommate,6.58,Hentai
Digimon Adventure Movie,7.57,"Action, Fantasy, Kids, Sci-Fi"
Digimon Adventure 02 Movies,7.12,"Adventure, Fantasy, Kids, Sci-Fi"
Minami-ke,7.69,"Slice of Life, Comedy, School"
Blue Drop: Tenshi-tachi no Gikyoku,6.73,"Sci-Fi, Drama, Shoujo Ai"
Suteki Tantei Labyrinth,6.74,"Mystery, Sci-Fi"
Ookami to Koushinryou,8.27,"Adventure, Fantasy, Historical, Romance"
Saishuu Shiken Kujira,5.06,"Comedy, Ecchi, Mystery, School, Supernatural"
Appleseed Saga Ex Machina,7.36,"Action, Mecha, Military, Sci-Fi"
Night Wizard,6.69,"Adventure, Fantasy, Magic, Shounen"
Kyou kara Maou! R,7.46,"Adventure, Comedy, Demons, Fantasy, Shoujo"
Kindan no Mokushiroku: Crystal Triangle,4.62,"Adventure, Military, Demons, Mystery"
Fire Tripper,6.62,"Fantasy, Sci-Fi"
The Humanoid: Ai no Wakusei Lezeria,4.83,"Space, Mecha, Drama, Sci-Fi"
Youjuu Sensen Adventure Kid,5.32,"Fantasy, Hentai, Demons, Horror"
Shin Getter Robo,7.35,"Action, Adventure, Mecha, Sci-Fi, Demons, Horror, Shounen"
Akiko,5.36,Hentai
Kuusou Kagaku Sekai Gulliver Boy,6.44,"Action, Adventure, Fantasy, Magic, Mecha"
Chika Gentou Gekiga: Shoujo Tsubaki,5.25,"Drama, Historical, Horror"
Yuuwaku,6.56,"Hentai, School"
Digital Devil Story: Megami Tensei,5.21,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School"
Majin Tantei Nougami Neuro,7.62,"Mystery, Comedy, Demons, Supernatural, Shounen"
Bamboo Blade,7.34,"Comedy, School, Seinen, Sports"
Ginga Hyouryuu Vifam,7.13,"Action, Sci-Fi, Adventure, Space, Mecha"
Mahou Shoujo Ai,6.54,"Action, Hentai, Horror, Supernatural"
Classmate no Okaasan,6.03,"Hentai, School"
Mini Skirt Gakuen,4.54,Hentai
Harumi-chan no Oita,5.22,Hentai
Rosario to Vampire,6.84,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen"
Death Note: Rewrite,7.71,"Mystery, Police, Psychological, Supernatural, Thriller"
Hi no Tori: Houou-hen,6.88,"Historical, Drama, Fantasy"
Hi no Tori: Uchuu-hen,6.96,"Sci-Fi, Space, Drama, Fantasy"
Hi no Tori: Yamato-hen,6.78,"Drama, Historical"
Taiho Shichau zo: Full Throttle,7.22,"Action, Comedy, Police, Shounen"
Moyashimon,7.59,"Comedy, School, Seinen, Supernatural"
Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen"
Yumedamaya Kidan,6.54,"Drama, Fantasy"
Saint Beast: Ikusen no Hiru to Yoru-hen,6.29,"Magic, Fantasy"
Shadow Skill,6.59,"Adventure, Drama, Fantasy, Shounen"
Atashin'chi,7.25,"Comedy, Slice of Life"
Bronze: Kouji Nanjo Cathexis,6.26,"Music, Shounen Ai"
Time Bokan Series: Yatterman,6.68,"Adventure, Comedy, Mecha"
Tiger Mask,7.26,"Action, Drama, Shounen, Sports"
Kaiketsu Zorro,7.23,"Adventure, Historical, Shounen"
Yotsunoha,6.36,"Romance, School"
Gekitou! Crush Gear Turbo,6.8,"Sports, Shounen"
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.95,"Action, Military, Sci-Fi, Space"
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,6.28,"Action, Military, Sci-Fi, Space, Drama"
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.12,"Action, Drama, Military, Sci-Fi, Space"
Lupin III: Kiri no Elusive,6.86,"Action, Adventure, Mystery, Comedy, Seinen"
Gu-Gu Ganmo,6.04,"Comedy, School, Shounen, Slice of Life"
Yume Senshi Wingman,6.52,"Action, Comedy, Super Power, Romance, School"
Haai Step Jun,6.37,"Action, Romance, School, Sci-Fi"
Esper Mami,6.46,"Comedy, Ecchi, Magic, School, Super Power, Supernatural"
Ribbon no Kishi,6.63,"Action, Mystery, Romance, Fantasy, Shoujo"
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,5.59,"Action, Fantasy, Magic"
Compiler,5.19,"Sci-Fi, Comedy, Drama, Romance"
Hokuto no Ken: Yuria-den,7.12,"Action, Adventure, Drama, Martial Arts"
Cluster Edge Specials,6.44,"Action, Fantasy, Military, Sci-Fi"
Digimon Frontier: Ornismon Fukkatsu!!,6.87,"Adventure, Comedy, Drama, Fantasy, Shounen"
Digimon Tamers: Boukensha-tachi no Tatakai,6.99,"Adventure, Drama, Sci-Fi, Shounen"
Digimon Tamers: Bousou Digimon Tokkyuu,7.06,"Adventure, Comedy, Sci-Fi, Shounen"
Kurai Mirai,5.82,Hentai
Chouon Senshi Borgman,6.39,"Action, Sci-Fi, Demons"
Tobe! Isami,7.17,"Action, Adventure, Comedy, Romance, Shounen"
GS Mikami: Gokuraku Daisakusen!!,6.59,"Comedy, Fantasy"
Senya Ichiya Monogatari,6.11,"Hentai, Fantasy"
Campus,5.93,Hentai
Bakuhatsu Sunzen!! Tenshi no Countdown,5.52,"Comedy, Hentai, Yuri"
Andersen Douwa: Ningyohime,6.98,"Fantasy, Romance, Shoujo"
Tetsuwan Atom (1980),7.14,"Action, Sci-Fi, Adventure, Mecha, Shounen"
Shiroki Tenshi-tachi no Rondo,5.78,Hentai
In no Houteishiki,6.29,"Hentai, School"
Panchira Teacher,6.38,"Hentai, School"
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,7.25,"Fantasy, Music, Romance, Shoujo"
Ganbare! Kickers,6.82,"Comedy, Drama, Shounen, Sports"
La Seine no Hoshi,6.53,"Adventure, Historical, Drama, Shoujo"
Natural,5.98,Hentai
Loveless Specials,6.56,"Comedy, Supernatural, Romance, Fantasy, Josei, Shounen Ai"
Darling,6.45,"Hentai, Comedy"
Ninja Senshi Tobikage,6.99,"Adventure, Mecha, Sci-Fi, Shounen, Space"
Dallos,5.97,"Action, Sci-Fi, Mecha"
Kishin Heidan,6.26,"Adventure, Mecha, Historical, Sci-Fi"
Futago no Haha Seihonnou,6.23,Hentai
Gakuen Sodom,5.45,Hentai
Kizuoibito,4.85,"Action, Adventure, Seinen, Thriller"
Ozanari Dungeon: Kaze no Tou,6.26,"Action, Adventure, Fantasy, Comedy"
Joou-sama wa M Dorei,5.42,Hentai
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,7.08,"Action, Military, Sci-Fi, Space, Drama"
Yamato yo Towa ni,6.61,"Action, Military, Sci-Fi, Adventure, Space, Drama"
Wakusei Daikaiju Negadon,5.6,"Action, Fantasy, Mecha, Military, Sci-Fi, Space"
Uchuu Senkan Yamato: Aratanaru Tabidachi,6.7,"Action, Military, Sci-Fi, Space, Drama"
Uchuu Senkan Yamato: Kanketsu-hen,6.9,"Action, Military, Sci-Fi, Adventure, Space, Drama"
Minerva no Kenshi,6.1,"Fantasy, Hentai"
Tondera House no Daibouken,6.23,"Adventure, Historical, Sci-Fi"
Bishoujo Senshi Sailor Moon SuperS Specials,7.36,"Magic, Romance, Shoujo"
Warau Salesman,6.69,"Comedy, Psychological, Supernatural, Drama, Seinen"
Magical Twilight,5.97,"Hentai, Comedy, Magic, Romance"
Aoki Ryuusei SPT Layzner,6.96,"Space, Mecha, Military, Sci-Fi"
Anime Tenchou,6.05,"Action, Parody"
Attacker You!,6.57,"Action, Romance, Shoujo, Sports"
Stairs: Houkago no Album,5.46,Hentai
Koharu Biyori,6.63,"Sci-Fi, Comedy, Ecchi"
Strait Jacket,6.85,"Action, Sci-Fi, Fantasy"
Cencoroll,7.21,"Action, Sci-Fi"
Tokyo Marble Chocolate,7.21,"Slice of Life, Romance"
The Sky Crawlers,7.3,"Drama, Military"
Aa! Megami-sama!: Tatakau Tsubasa,7.6,"Comedy, Magic, Romance, Seinen, Supernatural"
xxxHOLiC Kei,8.25,"Mystery, Comedy, Psychological, Supernatural, Drama"
Junjou Romantica,7.65,"Comedy, Drama, Romance, Shounen Ai"
Kekkai,5.31,Hentai
Rankou Choukyou: Maid ni Natta Shoujo,5.41,Hentai
Sono Kinisasete yo: My My Mai,5.77,"Ecchi, Comedy, Supernatural"
Shutsugeki! Machine Robo Rescue,6.68,"Action, Mecha, Sci-Fi"
Juusenshi Gulkeeva,6.31,"Action, Fantasy, Mecha, Super Power"
Kamen Rider SD Kaiki?! Kumo Otoko,6.2,"Action, Parody"
F-Zero: Falcon Densetsu,6.42,"Action, Sci-Fi, Adventure, Cars, Sports, Mecha, Shounen"
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,7.18,Hentai
Geisters: Fractions of the Earth,5.84,"Action, Military, Sci-Fi"
Chikansha Thomas,6.02,Hentai
Dark Shell: Ori no Naka no Namameki,6.09,Hentai
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,5.93,Hentai
Mei King,6.06,"Adventure, Comedy, Fantasy, Hentai"
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.03,"Drama, Historical"
Nasu: Suitcase no Wataridori,7.12,"Drama, Seinen, Sports"
Papillon Rose,4.65,"Ecchi, Magic, Comedy, Parody"
Pinky Street,4.62,"Comedy, Slice of Life"
Chiisana Kyojin Microman,6.27,"Action, Adventure, Comedy, Kids, Mecha, Sci-Fi, Shounen, Super Power"
Toki no Tabibito: Time Stranger,6.07,"Action, Adventure, Romance, Sci-Fi"
Dash! Yonkurou,6.76,"Action, Cars, Sports, Kids, Shounen"
Bobby ni Kubittake,6.03,"Drama, Romance, Slice of Life"
Kodomo no Jikan OVA,7.09,"Comedy, Ecchi, School"
Tokimeki Tonight,7.17,"Comedy, Fantasy, Romance, Shoujo, Vampire"
California Crisis: Tsuigeki no Juuka,5.65,"Action, Adventure, Comedy"
Kaibutsu-kun,6.51,"Comedy, Horror"
Kaibutsu-kun (1980),6.45,"Comedy, Horror, Kids"
Ashita Tenki ni Naare,6.13,"Sports, Shounen"
Boukensha: The Man Was from Spain,6.24,"Adventure, Historical"
Dragon's Heaven,6.08,"Action, Adventure, Fantasy, Mecha, Sci-Fi"
Ochamegami Monogatari: Korokoro Pollon,6.95,"Parody, Magic, Comedy"
Tsurikichi Sanpei,7.04,"Adventure, Sports"
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",7.07,"Comedy, Drama"
Ryoujoku no Machi: Kyouen no Ceremony,5.55,"Fantasy, Hentai, Military"
GR: Giant Robo,6.43,"Adventure, Mecha, Military, Sci-Fi, Shounen"
Me gumi no Daigo: Kajiba no Baka Yarou,6.25,"Action, Drama"
Genei Toushi Bastof Lemon,6.15,"Adventure, Mecha, Sci-Fi"
Down Load: Namu Amida Butsu wa Ai no Uta,5.78,"Action, Adventure, Psychological, Sci-Fi"
Kagaku Ninja-tai Gatchaman (Movie),6.11,"Action, Adventure, Sci-Fi, Shounen"
Gatchaman,6.42,"Action, Adventure, Martial Arts, Sci-Fi, Shounen, Super Power"
Kingyo Chuuihou! (Movie),6.09,"Action, Comedy, Kids, Shoujo"
Guardian Hearts-Power UP!,5.89,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance"
The Kabocha Wine,6.56,"Slice of Life, Comedy, Romance, School"
Houkago Mania Club: Koi no Hoshii no,5.25,"Hentai, Yuri"
Makiba no Shoujo Katri,6.89,"Adventure, Drama, Historical, Slice of Life"
Hidamari Sketch Specials,7.54,"Slice of Life, Comedy, School, Seinen"
Ayakashi,6.36,"Action, Sci-Fi, Horror, Fantasy"
Eve no Jikan,8.08,"Sci-Fi, Slice of Life"
Ryoujoku Hitozuma Onsen,6.52,Hentai
Sola Specials,6.95,"Comedy, Romance, Slice of Life, Supernatural"
Kaitei Choutokkyuu: Marine Express,6.08,"Action, Adventure, Comedy, Sci-Fi, Drama"
Nessa no Haou Gandalla,5.92,"Adventure, Drama, Fantasy, Horror, Magic, Music, Sci-Fi, Supernatural"
Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,5.84,"Action, Adventure, Demons, Fantasy, Horror, Shoujo, Supernatural"
Massugu ni Ikou. 2nd Season,6.62,"Comedy, Josei, Romance, Slice of Life"
MAPS: Densetsu no Samayoeru Seijin-tachi,5.9,"Action, Sci-Fi, Adventure, Space, Drama, Shounen"
Fortune Quest L,6.42,"Adventure, Comedy, Fantasy, Magic"
Sekai Meisaku Douwa: Hakuchou no Mizuumi,7.01,"Drama, Romance, Fantasy"
Guitar wo Motta Shounen: Kikaider vs. Inazuman,6.43,"Sci-Fi, Shounen"
Tobira wo Akete,5.8,"Action, Sci-Fi, Adventure, Fantasy"
Asobot Senki Gokuu,6.62,"Action, Sci-Fi, Adventure, Comedy, Shounen"
Ningyohime Marina no Bouken,6.29,"Drama, Fantasy, Kids, Romance"
Wakakusa no Charlotte,6.75,"Drama, Historical, Kids, Shoujo, Slice of Life"
Nanatsu no Umi no Tico,7.39,"Slice of Life, Adventure"
Pure-tou no Nakama-tachi,6.33,"Fantasy, Kids"
Daisuki! Hello Kitty,6.3,"Fantasy, Kids"
Chibi Maruko-chan Movie,7.14,"Comedy, School, Shoujo"
Cream Lemon: Lemon Angel,5.47,Ecchi
Ikoku Irokoi Romantan,7.01,"Comedy, Romance, Yaoi"
Otenki Oneesan,5.52,"Comedy, Hentai, Yuri"
Ganbare Genki,7.33,"Action, Comedy, Shounen, Sports"
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,6.03,"Action, Adventure, Super Power"
Fuyu no Hi,6.08,Historical
Gensoumaden Saiyuuki OVA,7.09,"Adventure, Shounen, Supernatural"
Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,7.11,"Sci-Fi, Slice of Life, Comedy, School"
Kanashimi no Belladonna,7.13,"Dementia, Drama, Hentai, Historical"
Shakugan no Shana-tan Movie,7.14,"Adventure, Comedy, Parody, Fantasy"
Kiddy Grade: Maelstrom,7.11,"Action, Mecha, Sci-Fi, Super Power"
Kiddy Grade: Truth Dawn,7.13,"Action, Mecha, Sci-Fi, Super Power"
Minami-ke Okawari,7.35,"Comedy, School, Slice of Life"
Major S4,8.24,"Comedy, Drama, Shounen, Sports"
Harukanaru Toki no Naka de 3: Kurenai no Tsuki,6.81,"Action, Fantasy, Military, Historical, Shoujo"
Zoku Sayonara Zetsubou Sensei,7.93,"Comedy, Parody, School, Shounen"
Kimi ga Aruji de Shitsuji ga Ore de,7.18,"Comedy, Ecchi, Harem, Parody, Romance"
Druaga no Tou: The Aegis of Uruk,7.19,"Adventure, Comedy, Fantasy"
Gunslinger Girl: Il Teatrino,7.16,"Action, Drama, Military, Sci-Fi"
Bannou Bunka Neko-Musume Specials,6.43,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
009-1: R&B,6.33,"Action, Sci-Fi, Seinen"
Magma Taishi,5.92,"Action, Space, Super Power, Sci-Fi, Shounen"
Cream Lemon,6.28,"Parody, Fantasy, Comedy, Romance, Hentai, Drama, Sci-Fi, Yuri"
Kindaichi Shounen no Jikenbo Specials,7.27,"Mystery, Shounen"
Love Hina Final Selection,7.19,"Ecchi, Comedy, Harem, Romance"
Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,6.85,"Action, Supernatural, Historical, Drama"
Daishikkin Helena,5.84,Hentai
Super Teukgeup Mazinger 7,4.89,"Sci-Fi, Mecha"
Luv Wave,5.91,"Action, Drama, Hentai, Horror, Mystery, Police, Romance, Sci-Fi"
Soukou Kihei Votoms: Pailsen Files,7.28,"Mecha, Military, Sci-Fi, Space"
Lily C.A.T.,5.91,"Space, Horror, Sci-Fi"
Lemon Angel (1988),5.81,Ecchi
Lemon Angel (1988/II),5.81,Ecchi
Princess Tutu Recaps,6.59,"Magic, Romance, Comedy"
Ai Yori Aoshi: Enishi - Miyuki,6.95,"Comedy, Drama, Romance"
Kingdom of Chaos: Born to Kill,5.87,Fantasy
Mai-Otome 0: S.ifr,7.39,Sci-Fi
.hack//G.U. Trilogy,7.14,"Action, Fantasy, Game, Sci-Fi"
IGPX: Immortal Grand Prix (2005),7.12,"Drama, Mecha, Sci-Fi, Shounen, Sports"
Bakutou Sengen Daigunder,6.67,"Sci-Fi, Adventure, Mecha"
Kinnikuman,7.22,"Adventure, Comedy, Sports, Shounen"
Kinnikuman (Movie),6.33,"Action, Comedy, Sports, Shounen"
Kinnikuman: Ooabare! Seigi Choujin,6.19,"Action, Comedy, Sports, Shounen"
Kinnikuman: Seigi Choujin vs. Kodai Choujin,6.13,"Action, Comedy, Sports, Shounen"
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,6.18,"Action, Comedy, Sports, Shounen"
Kinnikuman: Haresugata! Seigi Choujin,6,"Action, Comedy, Sports, Shounen"
Kinnikuman: New York Kiki Ippatsu!,6.2,"Action, Comedy, Sports, Shounen"
Kinnikuman: Seigi Choujin vs. Senshi Choujin,6.11,"Action, Comedy, Sports, Shounen"
Kinnikuman: Kessen! Shichinin no Seigi Choujin vs. Uchuu Nobushi,6.35,"Action, Comedy, Sports, Shounen"
Kinnikuman: Kinnikusei Oui Soudatsu-hen,6.71,"Action, Comedy, Sports, Shounen"
Himitsu no Akko-chan,6.3,"Magic, School, Shoujo"
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,6.71,Hentai
Tenkuu Danzai Skelter+Heaven,1.85,"Sci-Fi, Mecha"
Gundam Evolve,6.63,"Action, Military, Space, Mecha"
Potemayo Specials,7.32,"Comedy, School, Seinen"
Gasshin Sentai Mechander Robo,5.88,"Space, Mecha, Military, Mystery, Sci-Fi"
Yatterman,6.6,"Adventure, Comedy, Parody"
Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen"
Hatenkou Yuugi,7.16,"Adventure, Comedy, Drama, Romance, Fantasy, Josei"
H2O: Footprints in the Sand,7.06,"Harem, Romance, School"
Romance wa Tsurugi no Kagayaki II,6.12,"Action, Fantasy, Comedy, Hentai, Demons"
Septem Charm Magical Kanan,6.02,"Hentai, Magic, Romance, School"
Megachu!,6.52,"Hentai, Supernatural"
Momiji,6.23,"Hentai, School"
Muteki Koujin Daitarn 3,7.08,"Mecha, Sci-Fi"
Aoki Honoo,4.98,"Romance, Drama, Seinen"
Moke Moke Taishou Dendo Musume Arisa,6.09,"Hentai, Mecha"
Heartwork: Symphony of Destruction,6.21,"Action, Hentai"
Mozu no Nie,5.3,"Hentai, Historical, Mystery"
Dr. Slump,7,"Slice of Life, Comedy, Sci-Fi, Shounen"
Montana Jones,6.91,"Adventure, Mystery, Comedy, Historical"
Kikou Keisatsu Metal Jack,6.28,"Action, Sci-Fi, Police, Mecha"
Uchuusen Sagittarius,6.8,"Sci-Fi, Adventure"
Kimi ga Nozomu Eien: Next Season,6.95,"Drama, Romance"
Harbor Light Monogatari: Fashion Lala yori,5.33,Shoujo
Wagaya no Oinari-sama.,7.22,"Adventure, Fantasy, Shounen, Supernatural"
Kite Liberator,6.34,"Action, Sci-Fi, Drama"
Discode: Ijou Seiai,6.31,Hentai
Yuusha Exkaiser,6.53,"Action, Mecha, Sci-Fi, Shounen"
Inaka Isha,6.71,"Dementia, Drama, Historical, Psychological"
Giant Gorg,7.12,"Action, Adventure, Mecha, Sci-Fi"
School Days: Magical Heart Kokoro-chan,5.62,"Comedy, Parody, Magic, Ecchi"
Izumo (2003),6.09,"Adventure, Fantasy, Comedy, Hentai"
Stop!! Hibari-kun!,7,"Comedy, Shounen"
Jokuana,5.73,Hentai
Haikara-san ga Tooru,7.16,"Drama, Historical, Romance, Shoujo, Slice of Life"
Mezame no Hakobune,5.95,Fantasy
Mnemosyne: Mnemosyne no Musume-tachi,7.32,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural"
Mikan Enikki,7.19,"Slice of Life, Comedy, Romance, Shoujo"
Kiddy GiRL-AND,6.88,"Action, Comedy, Sci-Fi, Super Power"
Kininaru Kimochi,6.16,Hentai
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,7.38,"Action, Adventure, Comedy, Mecha, Sci-Fi"
Zombie-Loan Specials,7.05,"Action, Horror, Supernatural, Shounen"
Fortune Dogs,6.46,Adventure
Mahoutsukai Sally,6.41,"Magic, Fantasy, School, Shoujo"
Kure-nai,7.38,"Comedy, Drama, Martial Arts"
Amatsuki,6.92,"Action, Demons, Fantasy, Historical, Shoujo, Supernatural"
UFO Senshi Dai Apolon,6.13,"Action, Sci-Fi, Mecha"
RD Sennou Chousashitsu,7.13,"Action, Sci-Fi"
Persona: Trinity Soul,6.58,"Action, Sci-Fi, Super Power"
Furusato Japan,6.77,Historical
Shoubushi Densetsu Tetsuya,7.52,"Game, Historical, Shounen"
Natural: Another,6.03,"Hentai, Romance"
Ginga Eiyuu Densetsu Gaiden,8.15,"Action, Military, Sci-Fi, Space, Drama"
Kirepapa.,6.7,"Comedy, Drama, Romance, Yaoi"
Tres Marias: Sannin no Sei Shojo,5.46,Hentai
Leatherman,5.81,Hentai
Mikagura Tanteidan,5.85,Hentai
Hana Dorei,5.52,Hentai
Fushigi no Umi no Nadia Omake Gekijou,6.54,"Sci-Fi, Adventure"
Korashime,5.86,Hentai
Orchid★Emblem,5.53,Hentai
Mi-da-ra,5.68,Hentai
Dorei Ichiba,6.23,Hentai
Majokko Megu-chan,6.65,"Magic, Shoujo"
Bus Gamer,6.54,Action
Hoshi no Umi no Amuri,5.81,"Sci-Fi, Adventure, Fantasy"
Maicching Machiko-sensei,6.22,"Comedy, Ecchi, School"
